USUARIO;Conexión;Desconexión;Horas conexión;Servicio
u938103;1/9/2025 08:01;1/9/2025 14:00;05:58:46;RETENCION CABLE
u401401;1/9/2025 08:03;1/9/2025 08:22;00:18:45;RETENCION CABLE
u401401;1/9/2025 08:26;1/9/2025 14:06;05:40:11;RETENCION CABLE
u939700;1/9/2025 15:59;1/9/2025 22:02;06:02:30;RETENCION CABLE
u924045;1/9/2025 15:01;1/9/2025 16:59;01:57:26;RETENCION CABLE
u614832;1/9/2025 15:00;1/9/2025 21:01;06:00:30;RETENCION CABLE
u403568;1/9/2025 08:57;1/9/2025 15:00;06:02:27;RETENCION CABLE
u930002;1/9/2025 07:58;1/9/2025 09:25;01:26:33;RETENCION CABLE
u930002;1/9/2025 09:25;1/9/2025 14:01;04:36:36;RETENCION CABLE
u939164;1/9/2025 08:04;1/9/2025 14:00;05:55:59;RETENCION CABLE
u405127;1/9/2025 08:28;1/9/2025 14:31;06:03:07;RETENCION CABLE
u928733;1/9/2025 16:01;1/9/2025 21:01;05:00:07;RETENCION CABLE
u935107;1/9/2025 08:00;1/9/2025 14:03;06:02:59;RETENCION CABLE
u935107;1/9/2025 20:30;1/9/2025 20:32;00:02:07;RETENCION CABLE
u935107;1/9/2025 20:33;1/9/2025 22:15;01:41:42;RETENCION CABLE
u403012;1/9/2025 07:59;1/9/2025 08:29;00:29:32;RETENCION CABLE
u403012;1/9/2025 08:30;1/9/2025 14:00;05:30:03;RETENCION CABLE
u405132;1/9/2025 16:00;1/9/2025 22:00;05:59:59;RETENCION CABLE
u400345;1/9/2025 07:59;1/9/2025 14:00;06:00:55;RETENCION CABLE
u921825;1/9/2025 09:00;1/9/2025 15:00;05:59:58;RETENCION CABLE
u921825;1/9/2025 21:26;1/9/2025 21:47;00:21:14;RETENCION CABLE
u402299;1/9/2025 15:01;1/9/2025 21:20;06:19:36;RETENCION CABLE
u403570;1/9/2025 08:15;1/9/2025 09:10;00:55:09;RETENCION CABLE
u403570;1/9/2025 09:11;1/9/2025 14:00;04:48:55;RETENCION CABLE
u405126;1/9/2025 08:56;1/9/2025 14:55;05:58:58;RETENCION CABLE
u625958;1/9/2025 08:00;1/9/2025 14:00;05:59:42;RETENCION CABLE
u927123;1/9/2025 08:58;1/9/2025 13:17;04:19:27;RETENCION CABLE
u927123;1/9/2025 13:21;1/9/2025 15:00;01:39:33;RETENCION CABLE
u405404;1/9/2025 16:03;1/9/2025 22:02;05:58:23;RETENCION CABLE
u939751;1/9/2025 07:57;1/9/2025 10:02;02:05:03;RETENCION CABLE
u939751;1/9/2025 10:05;1/9/2025 10:45;00:39:36;RETENCION CABLE
u939751;1/9/2025 10:47;1/9/2025 13:58;03:10:56;RETENCION CABLE
u938619;1/9/2025 15:00;1/9/2025 21:01;06:00:37;RETENCION CABLE
u934788;1/9/2025 15:01;1/9/2025 21:01;05:59:59;RETENCION CABLE
u928572;1/9/2025 08:59;1/9/2025 09:00;00:00:02;RETENCION CABLE
u928572;1/9/2025 09:00;1/9/2025 09:02;00:02:05;RETENCION CABLE
u928572;1/9/2025 09:02;1/9/2025 09:06;00:04:15;RETENCION CABLE
u928572;1/9/2025 09:06;1/9/2025 12:46;03:39:44;RETENCION CABLE
u928572;1/9/2025 12:59;1/9/2025 15:00;02:01:02;RETENCION CABLE
u405130;1/9/2025 16:00;1/9/2025 22:00;05:59:28;RETENCION CABLE
u578398;1/9/2025 08:05;1/9/2025 14:02;05:57:01;RETENCION CABLE
u936818;1/9/2025 09:01;1/9/2025 14:08;05:06:50;RETENCION CABLE
u936818;1/9/2025 20:30;1/9/2025 21:30;00:59:54;RETENCION CABLE
u405401;1/9/2025 15:52;1/9/2025 15:52;00:00:12;RETENCION CABLE
u405401;1/9/2025 15:59;1/9/2025 15:59;00:00:06;RETENCION CABLE
u405401;1/9/2025 16:00;1/9/2025 18:16;02:16:55;RETENCION CABLE
u405401;1/9/2025 18:17;1/9/2025 20:40;02:22:50;RETENCION CABLE
u405401;1/9/2025 20:41;1/9/2025 20:54;00:13:28;RETENCION CABLE
u405401;1/9/2025 20:55;1/9/2025 22:00;01:04:34;RETENCION CABLE
u403586;1/9/2025 15:01;1/9/2025 21:00;05:58:32;RETENCION CABLE
u932906;1/9/2025 09:00;1/9/2025 13:34;04:33:55;RETENCION CABLE
u932906;1/9/2025 13:38;1/9/2025 15:05;01:26:50;RETENCION CABLE
u561875;1/9/2025 08:29;1/9/2025 14:30;06:00:58;RETENCION CABLE
u925305;1/9/2025 08:02;1/9/2025 14:01;05:59:18;RETENCION CABLE
u925305;1/9/2025 16:01;1/9/2025 16:13;00:12:28;RETENCION CABLE
u925305;1/9/2025 20:41;1/9/2025 21:27;00:46:26;RETENCION CABLE
u401134;1/9/2025 14:59;1/9/2025 21:02;06:03:56;RETENCION CABLE
u939746;1/9/2025 08:00;1/9/2025 14:00;05:59:57;RETENCION CABLE
u401139;1/9/2025 15:00;1/9/2025 15:00;00:00:01;RETENCION CABLE
u401139;1/9/2025 15:00;1/9/2025 21:01;06:00:29;RETENCION CABLE
u401143;1/9/2025 15:25;1/9/2025 15:25;00:00:02;RETENCION CABLE
u401143;1/9/2025 16:00;1/9/2025 22:00;06:00:19;RETENCION CABLE
u939690;1/9/2025 15:59;1/9/2025 19:27;03:27:09;RETENCION CABLE
u939690;1/9/2025 19:33;1/9/2025 22:04;02:31:23;RETENCION CABLE
u929678;1/9/2025 08:30;1/9/2025 09:30;00:59:50;RETENCION CABLE
u614946;1/9/2025 08:05;1/9/2025 13:44;05:39:49;RETENCION CABLE
u614946;1/9/2025 13:44;1/9/2025 14:04;00:19:33;RETENCION CABLE
u626769;1/9/2025 08:34;1/9/2025 14:44;06:09:52;RETENCION CABLE
